country,dealer,city,category,website,email,address,profile_url
germany,A + C Auto Classic,Siershahn,classic-car-dealers,http://www.ac-autoclassic.de,info@a-und-c.com,"Bahnhofstraße 19, 56427 Siershahn, Germany",https://superclassics.eu/directory/general/a-c-auto-classic/
germany,AC classics,Linnich,classic-car-dealers,http://www.ac-classics.de,sv@ac-classics.de,"Hauptstraße 28, Körrenzig 52441 Linnich, Germany",https://superclassics.eu/directory/general/ac-classics/
germany,Adelman Sportwagen,Berlin,classic-car-dealers,https://sportwagen-adelmann.de,ma@sportwagen-adelmann.de,"Wiebestraße 36-37, 10553 Berlin, Germany",https://superclassics.eu/directory/general/adelman-sportwagen/
germany,AixClusive cars ’n more GmbH & Co. KG,Aachen,classic-car-dealers,https://www.aixclusive.com,siebertz@aixclusive.com,"Rotter Bruch 14, 52068 Aachen, Germany",https://superclassics.eu/directory/general/aixclusive-cars-n-more-gmbh-co-kg/
germany,Andy’s Classic Cars,Viechtach,classic-car-dealers,https://www.andys-classic-cars.de,info@andys-classic-cars.de,"Nußbergerstraße 1, 94234 Viechtach, Germany",https://superclassics.eu/directory/general/andys-classic-cars/
germany,AnMark Classic,Wülfrath,classic-car-dealers,http://anmarkclassic.de,classic.cars@gmx.de,"Wilhelmstraße 28, 42489 Wülfrath, Germany",https://superclassics.eu/directory/general/anmark-classic/
germany,Arden Automobilbau GmbH,Krefeld,classic-car-dealers,https://www.arden.de,arden@arden.de,"Untergath 175, 47805 Krefeld, Germany",https://superclassics.eu/directory/general/arden-automobilbau-gmbh/
germany,Arnold Classic GmbH,Lauenau,classic-car-dealers,https://www.arnold-classic.com,info@arnold-classic.com,"Rodenberger Str. 7, 31867 Lauenau, Germany",https://superclassics.eu/directory/general/arnold-classic-gmbh/
germany,Auto Salon Singen GmbH,Singen,classic-car-dealers,https://www.auto-salon-singen.de,info@autosalon-singen.de,"Güterstraße 33-35, 78224 Singen, Germany",https://superclassics.eu/directory/general/auto-salon-singen-gmbh/
germany,Autohaus Hans Saturski GmbH,Frankfurt am Main,classic-car-dealers,https://autohaus-saturski.de,auto.saturski@t-online.de,"Mainzer Landstraße 272-274, 60327 Frankfurt am Main, Germany",https://superclassics.eu/directory/general/autohaus-hans-saturski-gmbh/
germany,Automakler Nordheide,Heidenau,classic-car-dealers,https://automakler-nordheide.de,info@automakler-nordheide.de,"Osterberg 1, 21258 Heidenau, Germany",https://superclassics.eu/directory/general/automakler-nordheide/
germany,Automobile Zeitreise,Westerau,classic-car-dealers,https://www.automobile-zeitreise.de,info@automobile-zeitreise.de,"Wulmenau 6, 23847 Westerau, Germany",https://superclassics.eu/directory/general/automobile-zeitreise/
germany,Automobilia Fabrik,Waldfeucht,classic-car-dealers,http://www.automobilia-fabrik.de,automobiliaart@web.de,"Nordstraße 22, 52525 Waldfeucht, Germany",https://superclassics.eu/directory/general/automobilia-fabrik/
germany,Autosalon Isartal,Baierbrunn,classic-car-dealers,http://www.autosalon-isartal.de,service@autosalon-isartal.de,"Wolfratshauser Straße 64, 82065 Baierbrunn, Germany",https://superclassics.eu/directory/general/autosalon-isartal/
germany,AutoSL,Neuss,classic-car-dealers,https://autosl.de,info@autosl.de,"Hessenstraße 1, 41460 Neuss, Germany",https://superclassics.eu/directory/general/autosl/
germany,AutoToyStore GmbH,Starnberg,classic-car-dealers,http://www.autotoystore.de,info@autotoystore.de,"Gautinger Straße 8, 82319 Starnberg, Germany",https://superclassics.eu/directory/general/autotoystore-gmbh/
germany,Axel Schuette Fine Cars,Oerlinghausen,classic-car-dealers,https://axelschuette.de,info@axelschuette.de,"Rudolf-Diesel-Straße 3-9, 33813 Oerlinghausen, Germany",https://superclassics.eu/directory/general/axel-schuette-fine-cars/
germany,Bastian Voigt Collectors Cars GmbH,Verl,classic-car-dealers,https://www.bastianvoigt.de,bastian@bastianvoigt.de,"Zedernstraße 14, 33415 Verl, Germany",https://superclassics.eu/directory/general/bastian-voigt-collectors-cars-gmbh/
germany,BFC-Cars,Müllheim,classic-car-dealers,https://bfc-cars.de,info@bfc-cars.de,"Zehntscheuerweg 2, 79379 Müllheim, Germany",https://superclassics.eu/directory/general/bfc-cars/
germany,Bratke Exclusive Cars,Düsseldorf,classic-car-dealers,https://bratke.de,info@bratke.de,"Harffstraße 110A, 40591 Düsseldorf, Germany",https://superclassics.eu/directory/general/bratke-exclusive-cars/
germany,C.O.G. Classics GmbH Düsseldorf,Düsseldorf,classic-car-dealers,https://www.cog-classics.com,info@cog-classics.com,"Fichtenstraße 44, 40233 Düsseldorf, Germany",https://superclassics.eu/directory/general/c-o-g-classics-gmbh-dusseldorf/
germany,Car Classics Cologne GmbH,Bergheim,classic-car-dealers,https://car-classics.de,info@car-classics.de,"Zum Frenser Feld 1, 50127 Bergheim, Germany",https://superclassics.eu/directory/general/car-classics-cologne-gmbh/
germany,Car Range Automobile GmbH,Hamburg,classic-car-dealers,http://www.car-range.de,info@car-range.de,"Weidestraße 43, 22083 Hamburg, Germany",https://superclassics.eu/directory/general/car-range-automobile-gmbh/
germany,Cargold Collection,Riedering,classic-car-dealers,https://www.cargold-collection.com,luftschitz@cargold.com,"Beuerberg 19, 83083 Riedering, Germany",https://superclassics.eu/directory/general/cargold-collection/
germany,Carruca GmbH,Stephanskirchen,classic-car-dealers,https://www.carruca.com,info@carruca.com,"Kraglinger Straße 14A, 83071 Stephanskirchen, Germany",https://superclassics.eu/directory/general/carruca-gmbh/
germany,Chromecars,Laasdorf,classic-car-dealers,https://www.chromecars.de,info@chromecars.de,"Im Erlicht 1, 07646 Laasdorf, Germany",https://superclassics.eu/directory/general/chromecars/
germany,Classic Carage Celle,Lachendorf,classic-car-dealers,https://www.classicgaragecelle.de,info@classicgaragecelle.de,"Kuhlenkamp 5, 29331 Lachendorf, Germany",https://superclassics.eu/directory/general/classic-carage-celle/
